id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,explicit_language,key
1,Sunrise City,Nova Beats,pop,happy,0.88,128,0.91,0.85,0.12,82,2020s,"euphoric,uplifting,feel-good",false,C
2,Library Rain,Lofi Dreams,lofi,chill,0.35,75,0.62,0.48,0.88,74,2020s,"calm,nostalgic,cozy",false,Am
3,Storm Runner,Iron Pulse,rock,angry,0.96,142,0.28,0.72,0.15,67,2010s,"aggressive,intense,powerful",false,Em
4,Midnight Coding,Lofi Dreams,lofi,chill,0.42,80,0.68,0.55,0.82,71,2020s,"calm,dreamy,focused",false,G
5,Gym Hero,Nova Beats,pop,energetic,0.93,135,0.75,0.88,0.08,79,2020s,"hype,motivating,euphoric",false,D
6,Focus Flow,Lofi Dreams,lofi,calm,0.38,72,0.65,0.52,0.91,69,2020s,"peaceful,focused,calm",false,F
7,Night Drive Loop,Synth Collective,electronic,calm,0.75,110,0.58,0.79,0.18,63,2010s,"nostalgic,dreamy,atmospheric",false,Bm
8,Rooftop Lights,Indie Horizon,pop,happy,0.82,122,0.84,0.77,0.22,77,2010s,"uplifting,romantic,feel-good",false,A
9,Spacewalk Thoughts,Synth Collective,electronic,calm,0.52,95,0.71,0.63,0.45,61,2010s,"dreamy,atmospheric,calm",false,Dm
10,Coffee Shop Stories,Acoustic Wanderer,indie pop,calm,0.45,88,0.73,0.58,0.76,65,2010s,"cozy,nostalgic,warm",false,C
11,Broken Clocks,Velvet Stone,rock,sad,0.61,105,0.34,0.55,0.42,58,2010s,"melancholic,somber,reflective",false,Am
12,Golden Hour,Acoustic Wanderer,indie pop,happy,0.55,100,0.87,0.65,0.83,72,2020s,"warm,nostalgic,feel-good",false,G
13,Deep Blue,Ocean Drive,electronic,sad,0.48,90,0.38,0.60,0.35,54,2020s,"melancholic,atmospheric,introspective",false,Dm
14,Fire Anthem,Iron Pulse,rock,energetic,0.91,148,0.42,0.80,0.10,70,2010s,"aggressive,hype,powerful",false,E
15,Velvet Jazz,Soul Trio,jazz,romantic,0.40,92,0.78,0.62,0.72,60,2010s,"sensual,warm,nostalgic",false,Bb
16,Neon Euphoria,Synth Collective,electronic,energetic,0.87,130,0.82,0.91,0.05,76,2020s,"euphoric,hype,electric",false,F#
17,Rainy Season,Lofi Dreams,lofi,sad,0.28,68,0.41,0.40,0.93,68,2020s,"melancholic,cozy,nostalgic",false,Em
18,Warrior Code,Iron Pulse,rock,angry,0.94,150,0.22,0.75,0.07,64,2010s,"aggressive,intense,powerful",false,Dm
19,Soft Landing,Acoustic Wanderer,indie pop,calm,0.32,82,0.80,0.50,0.89,62,2020s,"peaceful,warm,dreamy",false,C
20,Pulse Check,Nova Beats,pop,energetic,0.85,132,0.77,0.86,0.14,75,2020s,"hype,motivating,uplifting",false,A
